I_A,Mag_H,mV
0.00,60.00,0.13
0.10,164.00,2.10
0.20,265.00,3.90
0.30,373.00,5.70
0.40,466.00,7.60
0.50,572.00,9.60
0.60,677.00,11.60
0.70,788.00,13.20
0.80,893.00,15.10
0.90,1005.00,16.90
1.00,1116.00,18.80
1.10,1215.00,20.70
1.20,1326.00,22.40
1.30,1436.00,24.30
1.40,1545.00,26.10
1.50,1658.00,28.10
1.60,1769.00,29.50
1.70,1877.00,31.30
1.80,1984.00,33.00
1.90,2110.00,34.70
2.00,2200.00,36.40
2.10,2310.00,37.90
2.20,2420.00,39.60
2.30,2530.00,41.00
2.40,2630.00,42.50
2.50,2740.00,44.10
2.60,2850.00,45.50
2.70,2950.00,46.90
2.80,3060.00,48.40
2.90,3160.00,49.80
3.00,3270.00,51.10
3.10,3380.00,52.40
3.20,3480.00,53.70
3.32,3610.00,55.00
3.40,3690.00,56.50
3.50,3790.00,57.60
3.60,3890.00,58.80
3.70,3980.00,59.90
3.80,4080.00,61.10
3.90,4180.00,62.10
4.00,4270.00,63.50